epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.7569375325046449,0.3638374074571535,0.87784588441331,0.8014226818853762
2,0.31493040683623374,0.2785546673680354,0.8955049620548745,0.8447406783123157
3,0.2586443301720697,0.2385916980956635,0.9127262113251605,0.8774281495631125
4,0.226215466304187,0.21983363911274645,0.9162288382953883,0.8778050117323668
5,0.20333260501203135,0.20042299570149313,0.9235259778166959,0.8900082392643125
6,0.18480433390138892,0.1892760933767754,0.9273204903677759,0.8961602374446489
7,0.17324743250217411,0.18099767325464494,0.9295096322241682,0.9010957486768125
8,0.16229362287142932,0.17559970237675704,0.9322825452422651,0.9050945695301261
9,0.15262728124384034,0.17224238732893843,0.9338879159369528,0.9077934799838481
10,0.14416110196858717,0.1676971642632131,0.9331582019848219,0.9077170050012189
11,0.13806130650981513,0.16680828072630866,0.9340338587273789,0.9048063778274404
12,0.13252163416890844,0.16433866085431342,0.9346176298890835,0.9091515700057398
13,0.12908232630574357,0.16253350363686567,0.9340338587273789,0.9072501012452421
14,0.12477584328399646,0.1639907479077421,0.9343257443082311,0.9054659423715119
15,0.12302654730598644,0.15825977100312744,0.9366608289550497,0.9112729221844725
16,0.11733457319822041,0.158226587552462,0.9382661996497373,0.9127610324349906
17,0.11404837275418236,0.15911105752721977,0.936077057793345,0.9100704804681331
18,0.1092815023114229,0.15879929990394034,0.9373905429071804,0.9122671058428626
19,0.10788613157391705,0.16155495541143056,0.9353473438412142,0.9089143056138023
20,0.10679619932811284,0.15952354907050023,0.9363689433741973,0.9114486721671502
