epoch,train_loss,val_loss,val_acc,val_macro_f1
1,1.2369290150332415,0.770575520393747,0.8384070058381985,0.6631759164107037
2,0.6919923267827187,0.6364929919147412,0.8832360300250208,0.8284304266935933
3,0.6229337098073099,0.595166856194656,0.8999165971643036,0.8582272597474978
4,0.5904294561597918,0.5705472515760809,0.9122185154295246,0.8741719444091435
5,0.5706404900704684,0.5521560510910979,0.9195162635529608,0.8835940991274104
6,0.5529015259358713,0.5383416885033163,0.9249374478732277,0.8895482327855693
7,0.5410312947615761,0.5280180907527837,0.9293160967472894,0.8972207561394823
8,0.5306841187350503,0.5189247447018628,0.9311926605504587,0.9003267628495849
9,0.5213316138621866,0.5134077517065632,0.9309841534612177,0.8998426148294906
10,0.5146954365778764,0.5095698016200889,0.9320266889074229,0.9044279760258292
11,0.5095365236898202,0.5054181727197788,0.9334862385321101,0.9084726642835957
12,0.5048448951559605,0.5022810819846973,0.932652210175146,0.906490892651925
13,0.5008295735999438,0.49902340558491914,0.9359883236030025,0.9050861792537729
14,0.4980350302792588,0.4949859753064656,0.9361968306922436,0.9071623490858397
15,0.4937374847778943,0.49517406633836814,0.9384904086738949,0.9134282100990971
16,0.49117970866201455,0.4925921522049828,0.9407839866555463,0.9159573238151797
17,0.48830541759333734,0.4922818714524429,0.9401584653878232,0.9156227840907858
18,0.4878809271714201,0.49051151604230847,0.9382819015846539,0.910996575635977
19,0.48379873630912745,0.4902310361207973,0.939324437030859,0.9146770979332691
20,0.48244885268698245,0.4906837043163675,0.9378648874061718,0.9111083463638051
21,0.48206102687720753,0.48781022113795275,0.9386989157631359,0.9074488368998309
22,0.4788464621254563,0.48537389229395866,0.9430775646371977,0.916097886557215
23,0.47903192383855064,0.48551592049348147,0.9414095079232694,0.9164695791031597
24,0.47553492663429264,0.4885519070362826,0.9403669724770642,0.916971542099699
25,0.47569691433317374,0.4850659716914752,0.9426605504587156,0.917204720060922
26,0.4732760363655778,0.4836374430282599,0.9420350291909925,0.915176158699658
27,0.4727517902092945,0.48218157800462863,0.9430775646371977,0.9203067191979457
28,0.47206175320465155,0.48231012802306966,0.9424520433694745,0.9183483626589697
29,0.46993810129420854,0.48204332540391187,0.9426605504587156,0.9187198104034098
30,0.4708380716751449,0.4798754585395762,0.9441201000834029,0.917965798165483
31,0.47094776194300714,0.48170479334225946,0.9428690575479566,0.91931030916781
32,0.46840212008287513,0.4797958247456777,0.9430775646371977,0.9179138968667745
33,0.4691640254518265,0.47982136881580145,0.9441201000834029,0.9196548517803446
34,0.46831718090855956,0.48032902020827445,0.9420350291909925,0.9169410605476204
35,0.4666928315441065,0.47939098999836327,0.9430775646371977,0.9173237745785422
36,0.4671430995255465,0.47911974208567715,0.9441201000834029,0.9227101164723291
37,0.4651940426485429,0.4772315379278773,0.9439115929941618,0.918090933749413
38,0.4654267052261147,0.4780705937054676,0.9439115929941618,0.9175142694466505
39,0.4644565916307769,0.4776906520998209,0.9420350291909925,0.9154662935935425
40,0.4649103962179988,0.47737075792341255,0.9445371142618849,0.9203784527667936
41,0.46341756044974547,0.4758089956290728,0.944954128440367,0.9181244199009421
42,0.46402316519713116,0.47624245802992277,0.9459966638865721,0.9208285747462007
43,0.4612423908207525,0.4765935037611324,0.9437030859049208,0.9172990310980728
44,0.4619293233122039,0.4762208996165087,0.9441201000834029,0.9179088738043978
45,0.46144802435048027,0.4756050256016455,0.9439115929941618,0.9197317601849149
46,0.46017693208837773,0.4772962742392673,0.9443286071726439,0.9192296209106844
47,0.46106281353240186,0.47686369308240223,0.9407839866555463,0.9124471551149165
48,0.45954772633564506,0.47503312380737417,0.9432860717264387,0.9194530631680712
49,0.4594314872662,0.4755617996819125,0.9432860717264387,0.9161752155567999
50,0.4598872591436596,0.47613096672162303,0.945371142618849,0.9201701981346773
51,0.4587162462902319,0.47526298491928953,0.945162635529608,0.9200087730155845
