iteration,train_loss,val_loss,val_acc,val_macro_f1,elapsed_seconds
1,0.8876672962221254,0.8874886987608451,0.9622445957950844,0.9450204362954666,0.033271074295043945
2,0.2189821136471677,0.21749706134717514,0.9644655019247853,0.9464048770116442,0.0927119255065918
3,0.09568997252200571,0.09395940535667535,0.9677228309150133,0.9603119099294458,0.16037821769714355
4,0.07578023981150848,0.07546722818222541,0.9712762807225348,0.9560466728811893,0.2423110008239746
5,0.07176583427880877,0.07160038515885177,0.9745336097127628,0.96513941780929,0.34450793266296387
6,0.06968941895546521,0.0696845482924766,0.9742374888954694,0.9522980216618555,0.4535329341888428
7,0.06790709693452907,0.0675233498868015,0.97601421379923,0.9659768371812596,0.5751690864562988
8,0.06640388374564668,0.06643335939555264,0.9761622742078768,0.965940281789799,0.7062289714813232
9,0.06532036133378144,0.06609337209845063,0.9771986970684039,0.9664905227690607,0.84598708152771
10,0.06483351057458357,0.06536858342256249,0.9764583950251703,0.9606554909455154,0.9821679592132568
11,0.06422029547594436,0.0654397960421609,0.9770506366597572,0.966376302202858,1.1272430419921875
12,0.0639501542182863,0.06537910287137261,0.9769025762511104,0.9662986858266007,1.2779178619384766
13,0.06364372389526926,0.06631195973224215,0.9767545158424638,0.9663438559674393,1.4375369548797607
14,0.06349464396638686,0.06616844141307408,0.9767545158424638,0.9660634173943322,1.6219267845153809
15,0.06337610914638471,0.06650340099283085,0.9767545158424638,0.9659503444150775,1.8099799156188965
16,0.06333099895698448,0.06654581004413437,0.9770506366597572,0.9662730912099299,2.006727933883667
17,0.06328112066048316,0.06690925601886769,0.9770506366597572,0.9661206078820221,2.1985700130462646
18,0.0632580243510006,0.06688174612156216,0.9770506366597572,0.9662730912099299,2.402008056640625
19,0.06321902652892218,0.06715888038629093,0.976606455433817,0.9657668918433986,2.61641001701355
20,0.0631964420363484,0.0671405269430774,0.9769025762511104,0.9660821407748621,2.8387489318847656
25,0.06312041025683182,0.06812389076753472,0.9769025762511104,0.9662258546002904,3.1029551029205322
30,0.06310459494421322,0.06796531182724179,0.9770506366597572,0.96646018778272,3.409350872039795
35,0.06306621790271648,0.06872964684193761,0.9770506366597572,0.96646018778272,3.766242027282715
40,0.06305857846854361,0.068928260555944,0.9770506366597572,0.96646018778272,4.1923229694366455
45,0.06304937743094924,0.06908472703591013,0.9770506366597572,0.96646018778272,4.651745080947876
50,0.06304307502748235,0.06944463910217712,0.9769025762511104,0.9622260251515335,5.15971302986145
55,0.06304139330790015,0.06943550101336411,0.9769025762511104,0.9622260251515335,5.68550705909729
60,0.06303715832203113,0.06965364968954975,0.9769025762511104,0.9622260251515335,6.28224515914917
65,0.063036227846585,0.06966165487689567,0.9767545158424638,0.9568854293352066,6.9262871742248535
70,0.06303352279257197,0.06981264981573107,0.9767545158424638,0.9568854293352066,7.613415956497192
75,0.06303301341911985,0.06980207593981395,0.9767545158424638,0.9568854293352066,8.354322910308838
80,0.06303130581007826,0.06989215993118347,0.9767545158424638,0.9568854293352066,9.129163980484009
85,0.06303118152665568,0.06988186013640584,0.9767545158424638,0.9568854293352066,9.936365127563477
90,0.06303090367847566,0.06989670865389032,0.9767545158424638,0.9568854293352066,10.804818868637085
95,0.06303087508361353,0.06989813217530434,0.9767545158424638,0.9568854293352066,11.697890996932983
100,0.0630308208437103,0.06990087802025016,0.9767545158424638,0.9568854293352066,12.661695003509521
150,0.06303080067025703,0.06990157675343717,0.9767545158424638,0.9568854293352066,14.040974140167236
200,0.06303080067353127,0.0699015752990537,0.9767545158424638,0.9568854293352066,14.104720830917358
250,0.06303080066940545,0.06990157490998343,0.9767545158424638,0.9568854293352066,14.15988302230835
300,0.06303080067094177,0.06990157450338337,0.9767545158424638,0.9568854293352066,14.215847969055176
350,0.06303080066650195,0.06990157431931315,0.9767545158424638,0.9568854293352066,14.273611068725586
400,0.06303080066816732,0.06990157374436327,0.9767545158424638,0.9568854293352066,14.330986022949219
450,0.06303080066509206,0.06990157294641074,0.9767545158424638,0.9568854293352066,14.38667893409729
500,0.06303080066579887,0.06990157259604526,0.9767545158424638,0.9568854293352066,14.441777229309082
