epoch,train_loss,val_loss,val_acc,val_macro_f1,lr,elapsed_seconds
1,0.5039978688772618,11.249854480369507,0.25658868818477937,0.08167786025686344,0.0008,2.7599501609802246
2,0.4119117124796741,2.786952301211212,0.7814628368374297,0.5060575868089371,0.0008,5.202119827270508
3,0.4061380992363984,0.45367342873476724,0.9797157240153983,0.9685515840919999,0.0008,7.804050922393799
4,0.4026536350291783,0.8104547371622864,0.39606159312999706,0.5924841690333199,0.0008,10.342966079711914
5,0.40162862586351034,0.5411047469697692,0.9771986970684039,0.8685029033459711,0.0008,12.783727884292603
6,0.39820440910072485,0.49044531018097864,0.9699437370447143,0.9447073066671102,0.0008,15.232974767684937
7,0.39733115556703597,0.5986600514167083,0.9224163458691146,0.830665846738548,0.0008,17.67419195175171
8,0.3951764072100502,0.7346576315819388,0.8812555522653243,0.8431220745686534,0.0008,20.292049884796143
9,0.3929726897894531,0.7146025263313573,0.8828842167604383,0.9064635062633103,0.0008,22.724946975708008
10,0.39226039385182904,1.0099548331230463,0.7755404204915606,0.7860595966772034,0.0004,25.154036045074463
11,0.3893564915292451,0.4930860548726122,0.9582469647616227,0.9560642466161537,0.0004,27.663779735565186
12,0.38843419345116376,0.5630287654236784,0.9321883328397986,0.9424410084041763,0.0004,30.09043288230896
13,0.3880132241919079,0.5634672619338427,0.9351495410127332,0.9454206476713194,0.0004,32.534038066864014
14,0.3876523011208263,0.590630941880607,0.9241930707728754,0.9425376915635834,0.0004,34.97077393531799
15,0.38684043425320697,0.6065753347463497,0.9135327213503109,0.9266502434107077,0.0004,37.498193979263306
16,0.3863524328507552,0.5854072984962164,0.9329286348830322,0.9441296384979442,0.0004,39.918681144714355
17,0.38587454513310815,0.4918308176689329,0.9646135623334321,0.9644452402918585,0.0002,42.3620080947876
18,0.3840830344461927,0.41582524285783845,0.9837133550488599,0.9853241722467543,0.0002,44.85789704322815
19,0.3841575890053351,0.4208170325755367,0.9828249925969795,0.9802694443336029,0.0002,47.2956748008728
20,0.3836431077508511,0.42758083473234654,0.9811963281018655,0.9793068554657062,0.0002,49.73661804199219
21,0.38317327679881413,0.43045557507192167,0.9817885697364525,0.9840244727341174,0.0002,52.16757392883301
22,0.3828779579355261,0.4346823302164634,0.9807521468759254,0.9789029785609943,0.0002,54.66940498352051
23,0.38265384025453153,0.43665521061734613,0.9816405093278058,0.9796858309273258,0.0002,57.09891676902771
24,0.3825725411606053,0.4223600696504275,0.9822327509623927,0.9797759878938261,0.0002,59.537375926971436
25,0.38239025507259133,0.4192671355302425,0.9825288717796861,0.9751728646513748,0.0001,61.95527505874634
26,0.3809946497442213,0.4037822288788385,0.9846017175007403,0.9813479505087919,0.0001,64.4730818271637
27,0.38137063993948805,0.40353396288699783,0.984749777909387,0.9814324904707789,0.0001,66.98039388656616
28,0.38115728437609303,0.4043169180899285,0.9850458987266805,0.9861094102078118,0.0001,69.44072794914246
29,0.38077999245335375,0.407158147708036,0.984749777909387,0.9814198574702573,0.0001,71.87889003753662
30,0.3807685313479085,0.40759874011483954,0.984749777909387,0.9814223921082874,0.0001,74.40289902687073
31,0.3809330686067579,0.41017215726535844,0.9844536570920935,0.9812400460292923,0.0001,76.85069012641907
32,0.38064789635287105,0.41088920783142313,0.9838614154575067,0.980900440425476,0.0001,79.30025696754456
33,0.3810624478364719,0.4153165162086204,0.9841575362748001,0.9810622697338761,0.0001,81.73494791984558
34,0.3802022220190834,0.41465914754215205,0.984749777909387,0.9859867576661984,0.0001,84.22894597053528
35,0.3806021041374946,0.4163863034441798,0.984749777909387,0.9859351756972966,5e-05,86.67454695701599
36,0.3799851924848292,0.4014030963332476,0.9856381403612674,0.9819954607045039,5e-05,89.11972308158875
37,0.37968716078158526,0.4014926115754161,0.9854900799526207,0.9819040671855663,5e-05,91.56889390945435
38,0.37936746023105394,0.402960295071078,0.9854900799526207,0.9818993150370063,5e-05,94.07138991355896
39,0.379690177233773,0.40326212168728276,0.9857862007699141,0.9820843273622897,5e-05,96.54219007492065
40,0.379748598177255,0.40287701981040125,0.9851939591353273,0.9817028591655108,5e-05,98.96820783615112
41,0.37946584868552297,0.40423278180953487,0.9850458987266805,0.9816775710099419,5e-05,101.40925288200378
42,0.3796415359010788,0.4046158315092634,0.9853420195439739,0.981845841095501,2.5e-05,103.90073299407959
43,0.37942930584249374,0.3994709014592525,0.9853420195439739,0.9817847109661173,2.5e-05,106.342689037323
44,0.37885053166573085,0.39988660495557266,0.9851939591353273,0.9816165243132502,2.5e-05,108.77446818351746
45,0.3789208578336388,0.39984444899251204,0.9854900799526207,0.9818712884986214,2.5e-05,111.35151791572571
46,0.3790296246631143,0.4002904121802338,0.9851939591353273,0.9817124412163152,2.5e-05,113.9066469669342
47,0.3789771358375086,0.4003204955110756,0.9853420195439739,0.9816795600870005,2.5e-05,116.37095189094543
48,0.3789901538285722,0.40040970843220236,0.984749777909387,0.9813571517234554,2.5e-05,118.85720610618591
49,0.3788846711446159,0.40059226370966217,0.9857862007699141,0.9819230209156231,1.25e-05,121.42297911643982
50,0.3789723095415634,0.39896950893476935,0.9850458987266805,0.9815348862114552,1.25e-05,123.95473003387451
