,LR_PCA,LR_HVG,XGB_PCA,XGB_HVG,SANN_PCA,SANN_HVG
LR_PCA,,0.9375,0.9375,0.9375,0.9375,0.9375
LR_HVG,0.9375,,0.9375,0.9375,0.9375,0.9375
XGB_PCA,0.9375,0.9375,,0.9375,0.9375,0.9375
XGB_HVG,0.9375,0.9375,0.9375,,0.9375,0.9375
SANN_PCA,0.9375,0.9375,0.9375,0.9375,,0.9375
SANN_HVG,0.9375,0.9375,0.9375,0.9375,0.9375,
