epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.7686182343102472,0.362162390300842,0.8768242848803269,0.7993747157457113
2,0.31316322326097135,0.2758981948419405,0.8962346760070052,0.8449083976650416
3,0.2568294938037629,0.24055857360536984,0.9103911266783421,0.8696633724972415
4,0.22289734901763839,0.21630449496509732,0.9179801517805021,0.885247691110829
5,0.1981802386232633,0.202229446266662,0.920753064798599,0.8914061553839894
6,0.18309411004819234,0.18905175660377488,0.9293636894337419,0.9042098549143109
7,0.16914377805491634,0.18397008412356133,0.9298015178050204,0.8996624617813598
8,0.15998969722641646,0.17723141393150701,0.9295096322241682,0.8992707697830493
9,0.14931862535446508,0.1722474633359937,0.9331582019848219,0.906366614032809
10,0.14407265782673195,0.16959560633366802,0.9349095154699358,0.9087494196440022
11,0.13754471824597553,0.16772037614908958,0.9333041447752481,0.9031618486654
12,0.13122900848335153,0.16697861039353196,0.935055458260362,0.9093027500719362
13,0.12609769105255636,0.16555293250591938,0.9357851722124927,0.9099453875741405
14,0.12057126603426656,0.165122346899277,0.9349095154699358,0.907893163250464
15,0.11754512349621161,0.16454669863629326,0.9349095154699358,0.9102183456292823
16,0.11319146224069573,0.1617851511244181,0.9375364856976065,0.9150498492696129
17,0.11048250995571876,0.16096677095724418,0.9373905429071804,0.9138916681537642
18,0.10790289988848516,0.1611812978339209,0.9381202568593111,0.9124026549385863
19,0.1040737668522395,0.1632374673646859,0.9369527145359019,0.91225696780476
20,0.10141007029341804,0.1633374146547362,0.9372446001167543,0.9126887438817664
