iteration,train_loss,val_loss,val_acc,val_macro_f1,elapsed_seconds
1,1.379205715698982,1.3750284110378739,0.6693077564637198,0.3480910726326264,1.3946278095245361
2,0.71063401824719,0.7207481644757876,0.7841951626355296,0.4456132657279227,3.330366849899292
3,0.3090538404716661,0.3381407579864215,0.902418682235196,0.8376871109264433,5.713963747024536
4,0.19121226217225973,0.25138993608199484,0.9132610508757297,0.8713137018191216,8.912150859832764
5,0.14421030127239168,0.2659705271953694,0.9067973311092578,0.8583631576561201,12.003068923950195
6,0.12354145424801456,0.2726627178576326,0.9022101751459549,0.8548904858755727,15.254981756210327
7,0.11186456755384613,0.28769973300598495,0.8994995829858216,0.8509350449626615,19.04012966156006
8,0.10396387626118143,0.2977440231915489,0.8992910758965805,0.8513519864183304,23.993168830871582
9,0.1004850082942308,0.304024579634773,0.8999165971643036,0.8551743217501065,28.587557792663574
10,0.09643385719589505,0.3134925738830401,0.8978315262718932,0.8503783043118508,33.77292585372925
11,0.09344028575250224,0.3199407523004522,0.8976230191826522,0.8489606405190985,39.24774980545044
12,0.0922492498471431,0.3200723596594789,0.8980400333611342,0.8519627876353513,44.44557595252991
13,0.09096867324419372,0.320667558848783,0.8984570475396163,0.8497584878905735,50.013378858566284
14,0.09050787915527084,0.3200044674039668,0.8974145120934112,0.8499903113497338,55.8786780834198
15,0.09013410923996133,0.31923469825544587,0.8994995829858216,0.8524383538736264,62.02822303771973
16,0.08985674554533918,0.31895045460388516,0.8984570475396163,0.8525417446184981,68.49987268447876
17,0.08963242343502899,0.3190071675926584,0.8990825688073395,0.8529676531968781,76.31047677993774
18,0.08947706564831566,0.3190830837003077,0.8982485404503753,0.8526228025937732,84.54113173484802
19,0.08928000883001251,0.31976777535858225,0.8982485404503753,0.8522489801713492,92.26947379112244
20,0.08918787308254422,0.3197435932876512,0.8992910758965805,0.8533307484976709,100.37028980255127
25,0.08895544402858753,0.32062865818485614,0.8984570475396163,0.8541646210952658,110.09934067726135
30,0.08891404237074226,0.3203138109588827,0.8984570475396163,0.8541646210952658,121.77855801582336
35,0.08888184611198978,0.32026953254183543,0.8978315262718932,0.8530574355888707,134.9573268890381
40,0.08885424238548259,0.32023620287959587,0.8976230191826522,0.8528991119775995,150.04981994628906
45,0.08884644099849091,0.3200826559196726,0.8980400333611342,0.853321330113654,167.26477694511414
50,0.08884484023360337,0.31999967112509364,0.8982485404503753,0.853724598547506,185.68760299682617
55,0.08883995178325427,0.32002175978105557,0.8982485404503753,0.853724598547506,205.92460703849792
60,0.08884349891002362,0.31997225393211204,0.8982485404503753,0.853724598547506,227.49705290794373
65,0.08884018783605178,0.3200145568236327,0.8982485404503753,0.853724598547506,251.00858402252197
70,0.08884469868053477,0.31997437019232533,0.8982485404503753,0.853724598547506,277.0080578327179
75,0.08884174771401267,0.31998596282151914,0.8982485404503753,0.853724598547506,304.57276582717896
80,0.08884399078496391,0.3199721890210365,0.8982485404503753,0.853724598547506,333.98062086105347
85,0.08884231609295691,0.31997880963729325,0.8982485404503753,0.853724598547506,365.8418188095093
90,0.08884353898891362,0.3199720428353278,0.8982485404503753,0.853724598547506,398.03251481056213
95,0.08884272532180264,0.3199782765845992,0.8982485404503753,0.853724598547506,432.51602482795715
100,0.08884307619350865,0.3199759407104625,0.8982485404503753,0.853724598547506,468.23358488082886
150,0.08884291615977498,0.3199761948949782,0.8982485404503753,0.853724598547506,521.6431047916412
200,0.08884288253664187,0.31997640423778306,0.8982485404503753,0.853724598547506,537.001158952713
250,0.0888428825976745,0.31997640991811216,0.8982485404503753,0.853724598547506,538.813060760498
300,0.08884288257762638,0.31997640608851835,0.8982485404503753,0.853724598547506,541.3391470909119
350,0.08884288260762024,0.319976410303171,0.8982485404503753,0.853724598547506,543.4592547416687
400,0.08884288257391496,0.319976407261542,0.8982485404503753,0.853724598547506,545.1096529960632
450,0.08884288260406736,0.3199764106068535,0.8982485404503753,0.853724598547506,546.7286307811737
500,0.08884288257748778,0.3199764076031043,0.8982485404503753,0.853724598547506,548.3516218662262
