epoch,train_loss,val_loss,val_acc,val_macro_f1,lr,elapsed_seconds
1,0.7133346425711132,0.6793766699799704,0.8997080900750626,0.8545852143097997,0.0008,26.275418758392334
2,0.379531688061396,0.566841190710378,0.8997080900750626,0.8593770631147409,0.0008,51.59980893135071
3,0.3244197367489419,0.8051635836242536,0.8999165971643036,0.8508274350815697,0.0008,77.1612229347229
4,0.2961467945753309,0.5263803121047382,0.9017931609674729,0.8549837233887141,0.0008,102.53702092170715
5,0.27336580393621546,0.6973434068243936,0.9047122602168474,0.858594400079552,0.0008,128.02003288269043
6,0.2583933301315408,0.8703904061192169,0.9059633027522935,0.8614658984436586,0.0008,153.51520895957947
7,0.24846091124835837,0.8120672270543781,0.9034612176814012,0.8563400872171838,0.0008,178.95033502578735
8,0.23856438950589035,0.8933467970379598,0.9040867389491243,0.8577355493261033,0.0008,204.55625295639038
9,0.2316820002281479,0.9151975994959187,0.9015846538782318,0.8573032270026921,0.0008,229.96318078041077
10,0.22838237226141944,0.8993441727481553,0.9070058381984988,0.8584062817801874,0.0008,255.59273076057434
11,0.22560385790795315,1.0305293913529852,0.9061718098415346,0.8618149570169807,0.0008,281.20960092544556
12,0.22302787110821587,0.9907770306493363,0.9095079232693911,0.859201924704443,0.0008,306.6361138820648
13,0.22127511538647154,0.9254621211144206,0.9122185154295246,0.8654206912346437,0.0008,332.0905590057373
14,0.2202103734154517,1.022742286411497,0.9105504587155964,0.863828828461443,0.0008,357.910551071167
15,0.21709070048000834,1.0010344686361032,0.9090909090909091,0.8682133518917298,0.0008,383.5772397518158
16,0.21442789020525294,1.0746912633358587,0.9047122602168474,0.8592643348158562,0.0008,409.13665199279785
17,0.2144349705761824,0.9966885316013991,0.9109674728940784,0.8621174300619702,0.0008,435.03771805763245
18,0.21388316057189666,1.070054041782551,0.908256880733945,0.859800226128174,0.0008,460.4577736854553
19,0.2132896351091601,0.8882870243876253,0.9076313594662219,0.8615274613901914,0.0008,485.8357398509979
20,0.21250101244843747,0.9080889902828732,0.9115929941618015,0.8679602155017733,0.0008,511.3260600566864
21,0.21153903762801926,1.0148644457517613,0.9080483736447039,0.8661079762716238,0.0008,536.8033490180969
22,0.2113868673793694,1.0154800827151245,0.9111759799833195,0.8665265198591641,0.0004,562.2372207641602
23,0.20942773065967557,0.750802989797457,0.9097164303586321,0.8643452078661166,0.0004,587.6089658737183
24,0.20717552717527307,0.6756462011365119,0.9109674728940784,0.8685063787085188,0.0004,613.1245687007904
25,0.2065541904315828,0.7366285786417944,0.9115929941618015,0.8692207609933406,0.0004,638.6121537685394
26,0.20622987477147892,0.6749989091107207,0.9126355296080066,0.8667365345138346,0.0004,664.1534647941589
27,0.20588765874771228,0.7219714117457809,0.9107589658048374,0.8694950183352896,0.0004,689.572450876236
28,0.20564450479045954,0.6795176167205734,0.9128440366972477,0.8708568000475686,0.0004,715.0113189220428
29,0.20559290233370367,0.7139457454524306,0.9126355296080066,0.8714882228368064,0.0004,740.4486367702484
30,0.20537059966166035,0.7232327267117457,0.9107589658048374,0.8689728685561438,0.0004,766.055234670639
31,0.20528941183301114,0.7482195392412578,0.9092994161801501,0.8674158286800205,0.0004,791.7346448898315
32,0.20522802272265483,0.6848595684224908,0.9113844870725605,0.8695464232804788,0.0004,817.1797618865967
33,0.20501966888015052,0.7126294940685212,0.9118015012510425,0.8722491383540726,0.0004,842.8112099170685
34,0.20496337264047762,0.7164091091537794,0.9126355296080066,0.8698462250259098,0.0004,868.3245499134064
35,0.20491948239343888,0.7043777274976083,0.9126355296080066,0.8744569607902279,0.0004,893.9055569171906
36,0.20470593424146205,0.666513070700266,0.9115929941618015,0.870830178552498,0.0004,919.4047176837921
37,0.20482879434485124,0.7175900129550093,0.9130525437864887,0.8757503080297531,0.0004,944.8337769508362
38,0.20466462091929952,0.7363361323545932,0.9128440366972477,0.8731223827962926,0.0004,970.5064568519592
39,0.20488553905523796,0.8075461298152742,0.914303586321935,0.875621589145702,0.0004,996.0773928165436
40,0.20489354806877022,0.7410847148217192,0.9126355296080066,0.8728658986246762,0.0004,1021.6082928180695
41,0.20479816361374145,0.7961491220836544,0.9126355296080066,0.8693238032068794,0.0004,1047.053899049759
42,0.2051402462966106,0.73455687820464,0.9115929941618015,0.8705621401713611,0.0004,1072.4502408504486
43,0.20493241900875528,0.6828914230768635,0.9122185154295246,0.8709041140117402,0.0004,1098.113149881363
44,0.2051101196912455,0.6851437037641351,0.914303586321935,0.874611733927203,0.0002,1123.4928817749023
45,0.20457388266538856,0.5921920883446757,0.9124270225187656,0.8711264235268631,0.0002,1148.9839689731598
46,0.2039111254742003,0.6081362638103653,0.9138865721434529,0.8728195636583942,0.0002,1174.429186820984
47,0.20371084025194452,0.5550946553515036,0.914095079232694,0.8740148767549459,0.0002,1200.4979088306427
48,0.2036413369758012,0.5738027803693044,0.9122185154295246,0.8731706038495847,0.0002,1226.404079914093
49,0.20362048825335258,0.5869200897525011,0.9115929941618015,0.871596081734295,0.0002,1252.067841053009
50,0.2035871825136778,0.5359368739374684,0.9120100083402836,0.8717482000558735,0.0002,1277.9745888710022
51,0.2035965511641758,0.6384053624750079,0.9115929941618015,0.8691828807519276,0.0001,1303.4279160499573
52,0.20337367491325653,0.4940832478489053,0.9128440366972477,0.8715535176171704,0.0001,1329.0464067459106
53,0.2032421504746072,0.4978798486422856,0.9130525437864887,0.872082725940973,0.0001,1354.5444238185883
54,0.203263668017901,0.49962280868390285,0.9126355296080066,0.8732549039045908,0.0001,1380.1563849449158
55,0.20322196219733663,0.5435779923891604,0.914303586321935,0.8754867481464014,0.0001,1405.7169196605682
56,0.20312292608123583,0.5045160616160036,0.9155546288573811,0.8779007549072048,0.0001,1431.1166427135468
57,0.20315487770166596,0.5422569009738728,0.9138865721434529,0.8745085445104172,0.0001,1456.7454919815063
58,0.20310721305826862,0.5100770444796422,0.9134695579649708,0.8739276810096269,0.0001,1482.266147851944
59,0.203022044750419,0.516254483112402,0.9149291075896581,0.8766137348728592,0.0001,1507.7399637699127
60,0.20303978954417742,0.4953793463257574,0.914095079232694,0.8753059662792325,0.0001,1533.238648891449
61,0.20310417538400583,0.5122096115494887,0.914303586321935,0.8747802412081442,0.0001,1558.9814257621765
62,0.20303904021646085,0.48890747434402926,0.9132610508757297,0.8742045826692026,0.0001,1584.7763857841492
63,0.20310384372036014,0.49664838936450184,0.9128440366972477,0.8721217699199164,5e-05,1610.2089638710022
64,0.20295526356058075,0.4716875359503004,0.9130525437864887,0.8736433150129036,5e-05,1635.6656329631805
65,0.20292873117012067,0.46767336152512595,0.9138865721434529,0.8745720660796559,5e-05,1661.1150019168854
66,0.20284660430523882,0.47070042255821576,0.9132610508757297,0.8740274022280828,5e-05,1687.445485830307
67,0.202897286051418,0.4602790335946723,0.9132610508757297,0.8740419940466972,5e-05,1713.3497049808502
68,0.20288013266607297,0.4774177046842233,0.9130525437864887,0.8725492108001028,5e-05,1738.915344953537
69,0.2028549617741449,0.47768381320008446,0.9138865721434529,0.8731660744831576,5e-05,1764.4834687709808
70,0.20277092416755285,0.47959303251895635,0.914303586321935,0.8751507900635842,2.5e-05,1789.9834487438202
71,0.20276916884383878,0.443089858878146,0.9130525437864887,0.8723709722353922,2.5e-05,1815.453794002533
72,0.2027221037815174,0.4468525633949156,0.9124270225187656,0.8732960984500304,2.5e-05,1841.1915628910065
73,0.20279165128366916,0.454602854091789,0.914095079232694,0.8747259245975564,2.5e-05,1866.9678688049316
74,0.20274953716452124,0.43880651191535647,0.9138865721434529,0.8730993722321659,2.5e-05,1892.4385948181152
75,0.20271180382242723,0.44552788386949405,0.914095079232694,0.8744495002089716,2.5e-05,1917.921622991562
76,0.20270329036000004,0.4398702351225725,0.9138865721434529,0.8738209768325501,2.5e-05,1943.365779876709
77,0.20270418417211816,0.44109608868045347,0.914095079232694,0.8748678246758165,1.25e-05,1968.7790427207947
78,0.20271450362034318,0.43311811711412357,0.9136780650542119,0.8750354592766119,1.25e-05,1994.3485198020935
