epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.7507109889709306,0.3599572170567109,0.876970227670753,0.7931071925814862
2,0.3121104338635823,0.27792577514228106,0.8962346760070052,0.8420434296064067
3,0.2577144654146224,0.24136804991553418,0.9103911266783421,0.8741906333678794
4,0.2252517625408927,0.22088862577169455,0.9159369527145359,0.8797236229265621
5,0.20079139842090102,0.20542776449792788,0.9204611792177466,0.8883902338054926
6,0.18285107533407535,0.19435163391172294,0.9270286047869235,0.8980155625352071
7,0.16941053576301832,0.18857828629030796,0.9248394629305312,0.8934585621482253
8,0.15850714875792712,0.18116235796533964,0.931260945709282,0.9049290274863623
9,0.15119926376132678,0.17695921998725464,0.931260945709282,0.9019551207602738
10,0.14243100002788037,0.1737254529373728,0.9333041447752481,0.9059725685679857
11,0.1364197296231782,0.17189777306277224,0.9333041447752481,0.903456628957929
12,0.13095926183914425,0.1704248948989385,0.9343257443082311,0.908754744903732
13,0.12551014665470342,0.16790645813566166,0.9366608289550497,0.9142960130702754
14,0.12187758711476758,0.16671794070114673,0.9352014010507881,0.9095935161159457
15,0.11812126549363924,0.16667580604553223,0.9359311150029188,0.9135380396724316
16,0.11465713690404665,0.16809574253226467,0.9372446001167543,0.9121309535581371
17,0.11095328153150405,0.1669496780797465,0.9366608289550497,0.9141866130656122
18,0.10768085825228747,0.16801650924809272,0.9359311150029188,0.913971698275268
19,0.1057853721798263,0.16548762505714196,0.9363689433741973,0.9122597085764504
20,0.10240854587534325,0.16577637540062337,0.9385580852305896,0.9143284737624108
