epoch,train_loss,val_acc,val_macro_f1,lr
1,1.914621889644388,0.08080808080808081,0.1139427455720939,5.9999999999999995e-05
2,1.4520910663545186,0.43686868686868685,0.3917080881204082,8.999999999999999e-05
3,0.986286534782396,0.6186868686868687,0.5796900269402129,0.00011999999999999999
4,0.7119844046477012,0.8535353535353535,0.754675475744795,0.00015
5,0.5823420936991124,0.9015151515151515,0.8254889086025218,0.00017999999999999998
6,0.5162430472213386,0.9217171717171717,0.8394047932046234,0.00020999999999999998
7,0.468060417142327,0.9494949494949495,0.9178326883667264,0.00023999999999999998
8,0.41671770206261277,0.9545454545454546,0.9227782939850121,0.00027
9,0.38481569611845434,0.9646464646464646,0.9335295577550996,0.0003
10,0.40948564771240464,0.9646464646464646,0.9335295577550996,0.0003
11,0.42748448590313504,0.9646464646464646,0.9335295577550996,0.0002999794957488703
12,0.32049292113289674,0.9747474747474747,0.9456547537731878,0.0002999179886011389
13,0.30838849202104174,0.9772727272727273,0.9489395456993858,0.0002998154953722457
14,0.4439369525152269,0.9747474747474747,0.9373648141329208,0.00029967204408281613
15,0.384304954285711,0.9772727272727273,0.9489395456993858,0.00029948767395100045
16,0.32265512354133596,0.9772727272727273,0.9489395456993858,0.0002992624353817517
17,0.35158118310514885,0.9772727272727273,0.9489395456993858,0.0002989963899530457
18,0.42257495346769064,0.9772727272727273,0.9489395456993858,0.00029868961039904624
19,0.35931925540731807,0.9772727272727273,0.9489395456993858,0.00029834218059022024
20,0.3159029532712448,0.9797979797979798,0.9523381500496072,0.00029795419551040833
21,0.23854436657585065,0.9772727272727273,0.9482851151841344,0.00029752576123085736
22,0.38682310401489434,0.9772727272727273,0.9489395456993858,0.0002970569948812214
23,0.3921902271703776,0.9797979797979798,0.9523381500496072,0.0002965480246175399
24,0.3406424664366362,0.9797979797979798,0.9523381500496072,0.0002959989895872009
25,0.261813630811026,0.9797979797979798,0.9523381500496072,0.0002954100398908995
26,0.35404311128485744,0.9797979797979798,0.9523381500496072,0.0002947813365416023
27,0.4141574648743118,0.9772727272727273,0.9489395456993858,0.0002941130514205272
28,0.30140523031606514,0.9797979797979798,0.9523381500496072,0.0002934053672301536
29,0.29469299218039974,0.9797979797979798,0.9523381500496072,0.00029265847744427303
30,0.3797695903135771,0.9797979797979798,0.9523381500496072,0.00029187258625509513
31,0.33915397034331585,0.9797979797979798,0.9523381500496072,0.00029104790851742417
32,0.29890136217347857,0.9797979797979798,0.9523381500496072,0.0002901846696899191
33,0.29514604615484574,0.9797979797979798,0.9523381500496072,0.00028928310577345606
34,0.26514228162863335,0.9797979797979798,0.9523381500496072,0.0002883434632466077
35,0.2834561703249772,0.9797979797979798,0.9523381500496072,0.00028736599899825856
36,0.297595968381913,0.9797979797979798,0.9523381500496072,0.00028635098025737434
37,0.26181083447054815,0.9797979797979798,0.9517932618434287,0.0002852986845199438
38,0.3505839227859087,0.9772727272727273,0.9482851151841344,0.0002842093994731145
39,0.25176003609886133,0.9772727272727273,0.9482851151841344,0.00028308342291654174
40,0.28487378266456403,0.9797979797979798,0.9523381500496072,0.00028192106268097334
41,0.3443452374782018,0.9772727272727273,0.9482851151841344,0.00028072263654409154
42,0.36159094192426616,0.9772727272727273,0.9482851151841344,0.0002794884721436361
43,0.39255093172338795,0.9747474747474747,0.9307055101796203,0.00027821890688783083
44,0.2949660490603451,0.9797979797979798,0.9523381500496072,0.0002769142878631403
45,0.23108470535618614,0.9797979797979798,0.9523381500496072,0.00027557497173937923
46,0.3566070057843861,0.9797979797979798,0.9523381500496072,0.000274201324672203
47,0.31947321938575113,0.9772727272727273,0.9407634184831425,0.00027279372220300385
48,0.269488932922097,0.9797979797979798,0.9523381500496072,0.0002713525491562421
49,0.4009759143247443,0.9797979797979798,0.9523381500496072,0.00026987819953423867
50,0.34215682951017323,0.9797979797979798,0.9523381500496072,0.00026837107640945905
51,0.2810410624311823,0.9823232323232324,0.9558576592132934,0.0002668315918143169
52,0.2970027667831673,0.9823232323232324,0.9558576592132934,0.00026526016662852886
53,0.2956403777016581,0.9823232323232324,0.9558576592132934,0.00026365723046405023
