epoch,train_loss,val_acc,val_macro_f1,lr
1,0.6981361678516513,0.35858585858585856,0.3008298532448695,5.9999999999999995e-05
2,0.6179305880224992,0.8863636363636364,0.6968516906116967,8.999999999999999e-05
3,0.500479690338436,0.946969696969697,0.8303388799742203,0.00011999999999999999
4,0.3728285740519293,0.9545454545454546,0.8369704352529633,0.00015
5,0.29518685489228325,0.9646464646464646,0.9078236473905691,0.00017999999999999998
6,0.25214729574405115,0.9722222222222222,0.9369487880013353,0.00020999999999999998
7,0.1727196160806916,0.9747474747474747,0.9032276475514288,0.00023999999999999998
8,0.1876192935921059,0.9772727272727273,0.9058596958627998,0.00027
9,0.23459622154907922,0.9772727272727273,0.8958598614161465,0.0003
10,0.17121595129649836,0.9772727272727273,0.8958598614161465,0.0003
11,0.18067217468019048,0.9772727272727273,0.8958598614161465,0.0002999794957488703
12,0.14557674326447906,0.9797979797979798,0.8994988667882081,0.0002999179886011389
13,0.14203538308975208,0.9797979797979798,0.8994988667882081,0.0002998154953722457
14,0.1557893741088292,0.9797979797979798,0.8994988667882081,0.00029967204408281613
15,0.13263645271017124,0.9797979797979798,0.8994988667882081,0.00029948767395100045
16,0.13811354397943146,0.9797979797979798,0.8994988667882081,0.0002992624353817517
17,0.09953028327859373,0.9823232323232324,0.9130068193504801,0.0002989963899530457
18,0.1386665238747099,0.9797979797979798,0.8994988667882081,0.00029868961039904624
19,0.10139790706063997,0.9797979797979798,0.8994988667882081,0.00029834218059022024
20,0.11462596704872668,0.9797979797979798,0.8994988667882081,0.00029795419551040833
21,0.21237327473489012,0.9797979797979798,0.8994988667882081,0.00029752576123085736
22,0.1820084814656855,0.9772727272727273,0.8958598614161465,0.0002970569948812214
23,0.09379866671392048,0.9797979797979798,0.8994988667882081,0.0002965480246175399
24,0.07612040686777508,0.9823232323232324,0.903277424564397,0.0002959989895872009
25,0.25066359844939395,0.9772727272727273,0.8958598614161465,0.0002954100398908995
26,0.10496630818050531,0.9772727272727273,0.8958598614161465,0.0002947813365416023
27,0.1087104767780289,0.9823232323232324,0.903277424564397,0.0002941130514205272
28,0.12700565233095537,0.9823232323232324,0.903277424564397,0.0002934053672301536
29,0.14605529094571837,0.9823232323232324,0.903277424564397,0.00029265847744427303
30,0.1470358681256063,0.9797979797979798,0.8990365265082577,0.00029187258625509513
31,0.1739735919300942,0.9797979797979798,0.8990365265082577,0.00029104790851742417
32,0.13722408752320175,0.9797979797979798,0.8990365265082577,0.0002901846696899191
33,0.11636627540590505,0.9797979797979798,0.8990365265082577,0.00028928310577345606
34,0.05821126480117427,0.9797979797979798,0.8990365265082577,0.0002883434632466077
35,0.09757180418902268,0.9797979797979798,0.8990365265082577,0.00028736599899825856
36,0.1480235617464935,0.9772727272727273,0.8958598614161465,0.00028635098025737434
