epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.7917629220240244,0.3763068600558288,0.8724460011675423,0.7746425084881101
2,0.3426885767563406,0.2838388115637357,0.896964389959136,0.8424191796089218
3,0.2877271740082508,0.24782398593613647,0.9090776415645068,0.8659463794230154
4,0.2565989626457075,0.2270112804637899,0.9154991243432574,0.8782080501413247
5,0.23419138310886858,0.21142374130451952,0.9203152364273205,0.8854661576225134
6,0.21872666328763246,0.19930720283180667,0.9251313485113836,0.8960341647211522
7,0.20688691293207417,0.1924885829689902,0.9248394629305312,0.8943373710589005
8,0.1969089930712447,0.1861987354215376,0.9281961471103327,0.9005229207282218
9,0.18878291409836254,0.18113204143545603,0.9308231173380035,0.9036571732622611
10,0.1809032297818976,0.17593306512667015,0.9324284880326912,0.904625074793303
11,0.17662626224629344,0.17238742756829648,0.9330122591943958,0.9067520158394752
12,0.17074678175955024,0.16916900334724264,0.935055458260362,0.9110215887683781
13,0.1661672764177241,0.16933601460502778,0.9337419731465265,0.9066580693584154
14,0.16333572433832144,0.16664619450672147,0.9346176298890835,0.907947546744901
15,0.15751422645476099,0.16385535578315744,0.935055458260362,0.910401053206102
16,0.15451718809932416,0.16613186828866036,0.9359311150029188,0.9098342174276303
17,0.15258883255910174,0.16318688078436042,0.9362230005837712,0.9106396474445397
18,0.14669332309302371,0.163022597413347,0.9369527145359019,0.9130133660642462
19,0.14972862842584753,0.1641267662986426,0.9376824284880327,0.9144063051169384
20,0.14157820314365926,0.1627378040893135,0.9353473438412142,0.9106396422026247
