epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.971072081305166,0.4674907011277343,0.8489492119089317,0.6737398481660252
2,0.3804618965355949,0.32059165064660833,0.886456509048453,0.8283591942057349
3,0.3044346260945428,0.27842285138295536,0.898861646234676,0.8505628435295977
4,0.2699121853072309,0.25256702985877677,0.9068884997081145,0.8659149987424091
5,0.24593000976147747,0.23328809487979732,0.9112667834208991,0.8706944975311849
6,0.2290619228185988,0.22054956916891477,0.9166666666666666,0.8822791096957338
7,0.21645499992294046,0.21228016823338822,0.9191476941039113,0.8869929408800428
8,0.20450148964183262,0.20231101485768466,0.924547577349679,0.8953755337384689
9,0.1974040115893423,0.19741783483781386,0.9244016345592527,0.898178930586561
10,0.18857193583592707,0.1902537489243578,0.9277583187390543,0.9020805225115147
11,0.18207553731814002,0.18691637704091257,0.9287799182720373,0.9045181056125885
12,0.17631587632966628,0.18356791023823926,0.930385288966725,0.9058816321012485
13,0.17075969892855714,0.18235606068209187,0.9302393461762989,0.9062143101432526
14,0.16677348815538712,0.17971383725003198,0.9308231173380035,0.9060570417709564
15,0.16116064465782706,0.17689838854979856,0.9316987740805605,0.9074019722466092
16,0.15867463524988576,0.17574982436442332,0.9316987740805605,0.9095565134107779
17,0.15592650350796997,0.17527742232416224,0.9316987740805605,0.9097174421246172
18,0.1533116638718846,0.17399722698725809,0.9319906596614127,0.9067539571029242
19,0.15011212921110015,0.1725456001409925,0.9334500875656743,0.9105845144341629
20,0.14525659172871935,0.1721073575992022,0.9335960303561004,0.9108807531509348
