epoch,train_loss,val_loss,val_acc,val_macro_f1,lr
1,0.712471344767834,0.8989759841444495,0.8947039199332777,0.8442765710148554,0.0008
2,0.3760796649783428,1.0850388392047945,0.8994995829858216,0.8534056308339364,0.0008
3,0.32698262455313654,1.0664230976331424,0.9015846538782318,0.8528578910677486,0.0008
4,0.29454371548003344,0.6794554020734108,0.9020016680567139,0.8565320116931926,0.0008
5,0.2727201392476269,0.8397810370401108,0.9063803169307757,0.8655328291498653,0.0008
6,0.2578913960255004,0.7069005855825964,0.9049207673060884,0.8630404422752136,0.0008
7,0.24680563230719574,1.030195082869502,0.9007506255212677,0.8590154261362477,0.0008
8,0.24102014859743898,0.980117834340144,0.9020016680567139,0.8518893562119806,0.0008
9,0.23391184408672272,0.8169346553917425,0.9072143452877398,0.8614348178628174,0.0008
10,0.23120436591530433,1.0203229527954663,0.9028356964136781,0.8554400160068164,0.0008
11,0.22789705221024803,0.8478495455016883,0.9055462885738115,0.8602739017554578,0.0008
12,0.2236516467519328,0.8558906632676733,0.9080483736447039,0.8638781726181034,0.0004
13,0.2163281990342276,0.6580436101448943,0.9078398665554629,0.8607759604965428,0.0004
14,0.21260975884386155,0.6952146971792454,0.9097164303586321,0.8623791541807775,0.0004
15,0.21126219166783208,0.6466507669584864,0.908882402001668,0.8624481567341091,0.0004
16,0.2104862434706032,0.5552837841703655,0.9090909090909091,0.8646820974943576,0.0004
17,0.20993889124979387,0.6091825486571715,0.908882402001668,0.8642075590731386,0.0004
18,0.20936373919604184,0.6254936900608136,0.9105504587155964,0.8651246630824241,0.0004
19,0.20873422507306366,0.6612145532360666,0.9099249374478732,0.8650531442907121,0.0002
20,0.20801077358489742,0.5796859141585229,0.9103419516263553,0.8653164145875569,0.0002
21,0.2075838602392107,0.5923061304235577,0.9105504587155964,0.8667709862552003,0.0002
22,0.20734672776831498,0.5553991651664285,0.9107589658048374,0.8665501192646516,0.0002
23,0.20701135195029935,0.5678589781489941,0.9118015012510425,0.8686730503978521,0.0002
24,0.20701333265058086,0.5303658274832719,0.9103419516263553,0.8637426536600223,0.0002
25,0.20666140528275237,0.5320635419323406,0.9115929941618015,0.8665644231716614,0.0002
26,0.2067150239183011,0.5929484284351626,0.9103419516263553,0.8651577144931887,0.0002
27,0.20650936395550637,0.5680966689200875,0.9107589658048374,0.8644007793132223,0.0002
28,0.20637806429752995,0.5705519860192475,0.9113844870725605,0.8628552019963642,0.0002
29,0.20617251891116914,0.5713935967929369,0.9126355296080066,0.8674202350780913,0.0002
30,0.20603745432727621,0.5668199055387737,0.9124270225187656,0.8694292511482702,0.0002
31,0.20606203842534848,0.5902294727590702,0.9092994161801501,0.8632929739991569,0.0002
32,0.2058868281325232,0.5946495074893754,0.9113844870725605,0.8647727302143439,0.0002
33,0.20578817265700627,0.5689240535216296,0.9120100083402836,0.8681117261996333,0.0002
34,0.2057167786478828,0.5847483926310552,0.9134695579649708,0.8680917798018982,0.0002
35,0.20570554396433688,0.5890510393938887,0.9120100083402836,0.8659321969770569,0.0002
36,0.20546876149206442,0.5408496975998167,0.9130525437864887,0.868267888166393,0.0002
37,0.20540321920322469,0.5989264471268435,0.9097164303586321,0.8628687089864986,0.0001
38,0.2051992988305948,0.5274148068644784,0.9118015012510425,0.8651033296682561,0.0001
39,0.20496683144024738,0.49917456733872234,0.9118015012510425,0.8669907624812395,0.0001
40,0.20477471860433233,0.5195073107563525,0.9136780650542119,0.8694336674194835,0.0001
41,0.20481995368142772,0.4857331131576398,0.9118015012510425,0.8668827253884407,0.0001
42,0.20464337185238923,0.5242503016217736,0.9111759799833195,0.8653286535504421,0.0001
43,0.20468680106210618,0.4950445334149759,0.9111759799833195,0.8674707859361178,0.0001
44,0.2045328425052878,0.527024616466352,0.9113844870725605,0.8649200518672127,5e-05
45,0.2044722202069396,0.4676464333993579,0.9118015012510425,0.8643022913569774,5e-05
46,0.20435994991423762,0.4767929735881672,0.9111759799833195,0.8650502711600669,5e-05
47,0.20430296249110247,0.47158374686455906,0.9101334445371143,0.8656697941119091,5e-05
48,0.2042271080580614,0.4803593615077753,0.9109674728940784,0.8672075458293264,5e-05
49,0.20419639826424413,0.46850434318495554,0.9122185154295246,0.8669305375726789,5e-05
50,0.20429346939876705,0.47401877109262724,0.9130525437864887,0.8690342951994366,5e-05
51,0.20430695018525313,0.4669315744380935,0.9124270225187656,0.8666051254733494,2.5e-05
52,0.2041602885459208,0.45680330063622626,0.9128440366972477,0.8682108982570066,2.5e-05
53,0.2040642011549118,0.4526232248599376,0.9136780650542119,0.8686903923089808,2.5e-05
54,0.20408696910970467,0.4579880698906371,0.9132610508757297,0.8687386922852358,2.5e-05
55,0.20405072811574523,0.4530815348414404,0.9124270225187656,0.8683877782727143,2.5e-05
56,0.20406180099942334,0.45741461417494067,0.9126355296080066,0.8702169936754152,2.5e-05
57,0.20407430648745709,0.4517917604969381,0.9132610508757297,0.8678262331276575,2.5e-05
58,0.20398762703041326,0.45241232217600985,0.9122185154295246,0.8687092268098111,2.5e-05
59,0.2039559757546409,0.4521899835281913,0.9128440366972477,0.8690985320012198,2.5e-05
60,0.20400853028929583,0.45299362688883826,0.9126355296080066,0.8676493192841315,2.5e-05
61,0.20383234307225498,0.45656735358683637,0.9118015012510425,0.8654575780714414,2.5e-05
62,0.20387969342927192,0.45799564499970374,0.9115929941618015,0.8658220950055792,2.5e-05
63,0.2039317738790695,0.4531863076772364,0.9122185154295246,0.8672203074120927,1.25e-05
64,0.20383702947933718,0.44893020940781436,0.9115929941618015,0.8674708509372867,1.25e-05
