epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.7685810302137933,0.36206035313380786,0.8803269118505546,0.7996386649145302
2,0.31185479420665746,0.272464143276493,0.8987157034442499,0.8466658285459757
3,0.2529574386645147,0.2342163887520805,0.9124343257443083,0.8728560727079132
4,0.2214724698457621,0.21448976624380825,0.9204611792177466,0.8850906698225689
5,0.1976316010381267,0.1981503584286795,0.9279042615294805,0.8959611562641655
6,0.18005460990659214,0.1864407270694433,0.9316987740805605,0.9014313999454356
7,0.16767422146429486,0.17800776482985442,0.9333041447752481,0.9059977997786631
8,0.15727261457580052,0.17402775846617444,0.9363689433741973,0.9113605358779847
9,0.14807095247777918,0.17008877245049273,0.934179801517805,0.906336136181246
10,0.1408546262908912,0.16794549115763308,0.9384121424401635,0.9151054181044617
11,0.13577882389723042,0.1674088294559658,0.9368067717454758,0.9111534326286626
12,0.13090657068065248,0.1622663994090848,0.9385580852305896,0.9122540378909302
13,0.12397850034671641,0.16252540384233868,0.940893169877408,0.9141196105294389
14,0.12328506681684294,0.16129563749706405,0.9397256275539988,0.9134820948337375
15,0.1165235803914875,0.1597411691255202,0.9404553415061296,0.9154643819193075
16,0.11264034137783847,0.16155351187775027,0.9384121424401635,0.9105399298631605
17,0.11071637807209676,0.16006912395436376,0.9395796847635727,0.9126363529991092
18,0.10562371343438261,0.15959154594835315,0.9410391126678342,0.9146248947960453
19,0.10555023386436564,0.16095146390686102,0.9411850554582604,0.9150381561841338
20,0.10125058007195055,0.16127223608894647,0.9429363689433742,0.9170917353232173
