epoch,train_loss,val_loss,val_acc,val_macro_f1,lr,elapsed_seconds
1,0.886105159774317,0.47072143508973546,0.9665383476458395,0.9506962159431062,0.0001,12.101818084716797
2,0.4832267466781582,0.43776123060218536,0.9732010660349423,0.9652455090320411,0.0001,22.0515398979187
3,0.44287768112672327,0.43056761602484195,0.974977790938703,0.9712826007977323,0.0001,32.14228391647339
4,0.4258057345668626,0.4278153662308102,0.9755700325732899,0.9720940842430595,0.0001,43.12276816368103
5,0.41640470660242934,0.42686006863653075,0.9740894284868227,0.9710711068723583,0.0001,53.18688893318176
6,0.40918344253476463,0.4254501344432554,0.9757180929819367,0.972122495431822,0.0001,63.186463832855225
7,0.4035846708036941,0.4252519658994209,0.9757180929819367,0.972142710495377,0.0001,73.19204592704773
8,0.3995728987833983,0.4245072055540743,0.9755700325732899,0.9762425953689524,0.0001,83.36421012878418
9,0.3955379367191433,0.42485883929053814,0.976606455433817,0.9768532823711263,0.0001,93.29573488235474
10,0.39281232150400025,0.4260541188812199,0.97601421379923,0.9763362873241574,0.0001,103.3482768535614
11,0.39010475234057457,0.42887213023979,0.9751258513473497,0.975770822373212,0.0001,113.53805685043335
12,0.38776405558764515,0.42907632239160715,0.9746816701214095,0.9755776385233375,0.0001,123.53604817390442
13,0.3851061014955678,0.4306221441612605,0.97601421379923,0.9762736513211856,0.0001,133.40245008468628
14,0.3841264924071586,0.43189203019039074,0.97601421379923,0.9763775749769579,0.0001,143.26607608795166
15,0.38297628696088015,0.43274054515457094,0.976606455433817,0.9767100826280448,0.0001,153.10400795936584
16,0.3820441287312631,0.43433378367230563,0.97601421379923,0.9763895505120248,5e-05,163.72244596481323
17,0.38037853940791594,0.43432822128990045,0.9769025762511104,0.9768763364535882,5e-05,173.76935696601868
18,0.3797961401448693,0.43507323204712084,0.9761622742078768,0.9764745747334779,5e-05,183.6707580089569
19,0.37900085855624305,0.4366680391183576,0.9764583950251703,0.9766131928645821,5e-05,193.54599905014038
20,0.3782606703788152,0.4373932123396006,0.976606455433817,0.9725034240010787,5e-05,203.4565029144287
21,0.37836930688619597,0.4363756363283151,0.9769025762511104,0.9726434978065541,5e-05,213.29764604568481
22,0.3781197042054176,0.43608997116648024,0.9764583950251703,0.9683891226873389,5e-05,223.5602958202362
23,0.37764392631499866,0.4372478853607799,0.976606455433817,0.9724770234729296,2.5e-05,233.63801097869873
24,0.37725249952578666,0.4376517550317642,0.9767545158424638,0.9767951427777275,2.5e-05,243.5964388847351
25,0.37681637405358764,0.43850365271397446,0.9761622742078768,0.9722333141458798,2.5e-05,253.46361589431763
26,0.377165622270435,0.43805369058762356,0.9758661533905834,0.9720750079052717,2.5e-05,263.49111008644104
27,0.376505779790621,0.43903855925168306,0.9758661533905834,0.97206692021594,2.5e-05,273.48979091644287
28,0.37651573533528043,0.43968471751468646,0.97601421379923,0.9763695595893951,2.5e-05,283.6047878265381
29,0.3767449168281443,0.4397140640654012,0.9761622742078768,0.9722373076902565,2.5e-05,293.4668641090393
30,0.3761684434026332,0.44098318603605713,0.9763103346165235,0.9723145253586768,1.25e-05,303.5276610851288
31,0.3760671811492889,0.4411446447904766,0.97601421379923,0.9720363046968314,1.25e-05,313.4223117828369
32,0.3760968424515763,0.4411058554043599,0.9758661533905834,0.9719590878594182,1.25e-05,323.2686059474945
33,0.37601148484548796,0.4413175870495362,0.9758661533905834,0.9719510353318815,1.25e-05,333.20895409584045
34,0.3756874065287929,0.4409071447088904,0.9761622742078768,0.9722333141458798,1.25e-05,343.4155740737915
35,0.3757915251604095,0.4411163453629358,0.9763103346165235,0.9723184952929438,1.25e-05,353.389191865921
36,0.3756312079698354,0.44154681897671716,0.9764583950251703,0.9725077737798451,1.25e-05,363.3672728538513
37,0.37595412376845494,0.44139911556935785,0.9764583950251703,0.9725077737798451,1e-05,373.4643130302429
38,0.37563390675269337,0.4415037264070604,0.9763103346165235,0.972430586822437,1e-05,383.3157181739807
39,0.3755465817231231,0.4417933926520208,0.9761622742078768,0.9723494545496042,1e-05,393.1590430736542
