epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.721060922465412,0.350702578274743,0.8795971978984238,0.8127081813777703
2,0.29722737762812523,0.2703779726716001,0.9044074722708698,0.8618770680242359
3,0.24096284726593878,0.23719403507830591,0.9112667834208991,0.8725959988693841
4,0.2063860505462615,0.21717329485960613,0.9163747810858144,0.8791433389065355
5,0.1825780548063801,0.1978969756998796,0.925569176882662,0.8956547882431335
6,0.16343015821409312,0.18808075486395837,0.9279042615294805,0.8967263502638836
7,0.14944366536520115,0.17989013065250728,0.9327203736135435,0.9055669180328076
8,0.13784125269743833,0.1766962695038256,0.9343257443082311,0.9082649984545269
9,0.1282528666618019,0.1728580661913977,0.9343257443082311,0.9084951017328343
10,0.12068118122097429,0.16862676791537942,0.9365148861646234,0.9128529348050625
11,0.11362832352380144,0.16547077394895782,0.9369527145359019,0.9106185766332902
12,0.10790080641609322,0.16430701685104881,0.9362230005837712,0.912231053743705
13,0.10196678700713953,0.16519394678743834,0.9372446001167543,0.9135038192972347
14,0.0965133779662702,0.16478068241061206,0.9384121424401635,0.9138944072566141
15,0.09217844315495123,0.16574658936251693,0.9357851722124927,0.9118475001796537
16,0.08811261568539365,0.16515953897107644,0.9381202568593111,0.9150301744410807
17,0.08364329690994825,0.16468481042721922,0.9385580852305896,0.9177161145427836
18,0.08008795360544743,0.16581604250049425,0.9366608289550497,0.9132334691310786
19,0.07676072057517486,0.16630198693004047,0.9366608289550497,0.9141357011007376
20,0.07356494538854051,0.16625177728037213,0.937974314068885,0.9156914296922318
