split_id,seed,model,macro_f1,accuracy,train_time_seconds
split_01,42,LR,0.8393866761826189,0.8827264102751222,38.90950083732605
split_01,42,XGB,0.8749590048984117,0.9157118879077574,20.21139883995056
split_01,42,SANN,0.9075662967801197,0.9376778807560389,9.471283197402954
split_02,53,LR,0.8354953852960608,0.8803181785010582,48.52289915084839
split_02,53,XGB,0.8794910620076506,0.9180471429613953,21.888080835342407
split_02,53,SANN,0.9087132758994327,0.9388455082828577,11.32142186164856
split_03,64,LR,0.83718852968652,0.879442457855944,36.046351194381714
split_03,64,XGB,0.8818866880887418,0.9157848646281836,20.24994206428528
split_03,64,SANN,0.909857783566032,0.9359994161862366,10.285313844680786
split_04,75,LR,0.8425645381273249,0.8831642705976793,41.50241994857788
split_04,75,XGB,0.8821888129591373,0.9178282128001167,22.41574001312256
split_04,75,SANN,0.9114123377443573,0.9372400204334818,11.65486216545105
split_05,86,LR,0.8472948650605444,0.8843318981244983,43.83561396598816
split_05,86,XGB,0.8849624364141485,0.915930818069036,20.305408000946045
split_05,86,SANN,0.9152652826339495,0.9392103918849887,9.234278202056885
