model,mean,std,count,min,max
LR,41.76335701942444,4.766612988949612,5,36.046351194381714,48.52289915084839
XGB,21.01411395072937,1.055811071942146,5,20.21139883995056,22.41574001312256
SANN,10.393431854248046,1.0791265823061504,5,9.234278202056885,11.65486216545105
