epoch,train_loss,val_loss,val_acc,val_macro_f1
1,0.7689097492989999,0.5386863127412947,0.9136780650542119,0.8735730882782435
2,0.48797707558810627,0.5264234797869055,0.9174311926605505,0.8766136632680651
3,0.44952675019776933,0.5326000067022465,0.914095079232694,0.8726527833881697
4,0.42500445602714115,0.5319822089835143,0.9182652210175146,0.8823079262941356
5,0.4063267513326939,0.5299982033589167,0.9168056713928273,0.8721808286057566
6,0.38930725923934806,0.53027722408515,0.9130525437864887,0.8732882283662075
7,0.3770505185511006,0.5210948510901743,0.9205587989991659,0.8779271232331176
8,0.36747595470841704,0.527510364668085,0.9157631359466222,0.8744128647923967
9,0.3589198027975723,0.5204740339413199,0.9197247706422018,0.8812474566419343
10,0.3531706759483931,0.5212337127370175,0.9153461217681401,0.8747103562642093
11,0.34920146507159133,0.5197508663212488,0.9182652210175146,0.8766263366655335
12,0.3452546844420609,0.517908564451041,0.9174311926605505,0.8790215939489715
13,0.34319245473828836,0.5222365369490527,0.9209758131776481,0.8847522760061465
14,0.3396220625700802,0.522184664602574,0.9174311926605505,0.879904507595448
15,0.33870917410973816,0.5217579276339027,0.9201417848206839,0.8838543907867218
16,0.3395925927830843,0.5168509275789953,0.9222268557130943,0.8848309624016316
17,0.33672460481410194,0.5172602385903916,0.9249374478732277,0.8880024719129687
18,0.33415649045549717,0.5183792356355077,0.9184737281067556,0.8787946252210951
19,0.3333474269006845,0.5164363306696163,0.9224353628023353,0.8850329910003303
20,0.3326058660901147,0.52371195823675,0.9224353628023353,0.883556460768878
21,0.33238021035540305,0.5208942471841059,0.920767306088407,0.8850150536137811
22,0.33130195582629174,0.5204550347246658,0.9220183486238532,0.8826542880810159
23,0.33069098471921293,0.5226930010259102,0.9178482068390326,0.8773175731480958
24,0.329999068248692,0.5218890725920059,0.9238949124270225,0.8839075657803875
25,0.3303219832303706,0.5191031029266154,0.9199332777314428,0.8760384120464687
26,0.3294945176746833,0.524068415860915,0.9203502919099249,0.8812907020176332
27,0.3289139183442146,0.522028368671702,0.9213928273561302,0.8859297970477734
28,0.32802872021929474,0.5254022078627443,0.9222268557130943,0.8844350466869846
29,0.32830195677202817,0.5273284327745239,0.9205587989991659,0.8821742895772438
30,0.3278393113207948,0.5273060096712089,0.9180567139282736,0.8804195742832919
31,0.3292728193253241,0.5299209004347278,0.9174311926605505,0.8766711316660333
32,0.32805627038623525,0.5239076674531359,0.9213928273561302,0.8810915836281374
33,0.32671229096866594,0.526101753003802,0.9188907422852377,0.8824471683732692
34,0.3261748061368812,0.5223726892192927,0.9195162635529608,0.87986456871191
35,0.3271051144230363,0.5278822344178652,0.9190992493744787,0.8800717250174367
36,0.32577552553268446,0.5245682256384826,0.9238949124270225,0.8845690796829472
37,0.3252328103308312,0.5251233836727603,0.9232693911592994,0.8838371837761017
