epoch,train_loss,val_loss,val_acc,val_macro_f1
1,0.7497714702831865,0.538333393192172,0.914095079232694,0.8746241576130249
2,0.48297691483451327,0.5305290511740158,0.9163886572143453,0.8743148992101178
3,0.4433955341761891,0.5276252515769383,0.9163886572143453,0.8740298470620075
4,0.41694310352453773,0.5290772755311071,0.9153461217681401,0.8737638323694258
5,0.3954184129452678,0.5273935354630882,0.9155546288573811,0.8733871917881874
6,0.37886630054855447,0.5225250962329369,0.9172226855713094,0.8782096475417617
7,0.3655589967914293,0.5205172019217589,0.9220183486238532,0.8815888522236671
8,0.3561507112208858,0.5195722400744425,0.9228523769808173,0.8825230525885835
9,0.34731503068131664,0.5145032742403267,0.9224353628023353,0.8840905227928831
10,0.3440720490516247,0.5209245030038848,0.9201417848206839,0.8822055027103562
11,0.340996679379935,0.5176134195001648,0.9197247706422018,0.8823728608839551
12,0.33715261948890035,0.5136482133479592,0.9241034195162635,0.8846583153097117
13,0.3333022840819427,0.5129960016522237,0.9234778982485404,0.8853791986592245
14,0.3306638196865778,0.5141596721300391,0.9236864053377815,0.8841456318754347
15,0.33028555088452427,0.5186935760410156,0.9238949124270225,0.8899038257422565
16,0.3287044462344862,0.5139118376078459,0.9251459549624688,0.886535659267042
17,0.3288219318441873,0.5238963305403334,0.9197247706422018,0.880711989691215
18,0.33017558438398265,0.5187073715335633,0.9224353628023353,0.8875357825411349
19,0.32712993076047536,0.5142886751238955,0.9257714762301918,0.8943932210241263
20,0.32626857457632474,0.5292307806571789,0.9247289407839867,0.8923959906173218
21,0.3255177850248042,0.5149965071499198,0.9230608840700584,0.881857567662036
22,0.324241859897792,0.517557050383419,0.9243119266055045,0.8886624935985888
23,0.3231734362724567,0.5183931105180618,0.9257714762301918,0.8915373552966732
24,0.3226591735116407,0.5200877591060339,0.9247289407839867,0.8928534512572969
25,0.32259022045882885,0.5194098298205645,0.9249374478732277,0.8940319506046288
26,0.32288929664147653,0.5189676535835457,0.9236864053377815,0.8892536293469827
27,0.3224006810048759,0.5257336701374435,0.9234778982485404,0.8888337684356804
28,0.32128294940020885,0.5246626649974683,0.9222268557130943,0.8907496799512469
29,0.32093310595188446,0.517920372508982,0.9195162635529608,0.8857058722567868
30,0.32094117925263255,0.5173183639562557,0.9228523769808173,0.8905719096620948
31,0.3210852663920964,0.5246621223665258,0.9211843202668891,0.8902965593543691
32,0.32042073423373424,0.5233420479337407,0.9224353628023353,0.8914745551493982
33,0.3204603207950721,0.5186066624022604,0.9228523769808173,0.8905812193693781
34,0.3240693381430307,0.5223218628871034,0.9172226855713094,0.878872187204709
35,0.32432696443180653,0.5311162413359682,0.9241034195162635,0.887396446339453
36,0.32217153755121125,0.5251207548543948,0.9220183486238532,0.8886468975823999
37,0.32103478909436456,0.5221229796115312,0.9251459549624688,0.8879989148587804
38,0.321320031590801,0.5212036504459142,0.9234778982485404,0.8926876526935728
39,0.3198524222486706,0.5244909220680383,0.9218098415346122,0.886031085830748
40,0.3191354194576737,0.5239583282444853,0.9251459549624688,0.8930340559939606
41,0.3187486289183376,0.5235818415209091,0.9261884904086739,0.893480269324516
42,0.3179893825012518,0.5261946278278583,0.9222268557130943,0.8872294783952503
43,0.3189714516813349,0.525489115138368,0.9216013344453712,0.8915316754997603
44,0.3188700221454944,0.5317359669592303,0.9247289407839867,0.8932990793024143
