epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.6129760589313649,0.3036624852217782,0.8941914769410391,0.8404724532478075
2,0.26887339338087585,0.23941375335196757,0.9099532983070636,0.8721215527707215
3,0.2166497086758142,0.2054220475234696,0.922796263864565,0.8893834389221749
4,0.18332338826831637,0.18947313283175943,0.9270286047869235,0.89347485328234
5,0.16221973431507605,0.1756418340747564,0.9300934033858728,0.9017127281241751
6,0.1471586006750423,0.1656231091287633,0.9346176298890835,0.9086709065231624
7,0.134534555454884,0.16450373374330182,0.9334500875656743,0.9030366384353996
8,0.12231961089704359,0.16186299935740056,0.9340338587273789,0.9060788747024829
9,0.11562276887843838,0.1575408236227464,0.939871570344425,0.9169370411808921
10,0.10889567510098319,0.15853450563450827,0.936077057793345,0.913787523893579
11,0.10274648382819485,0.15818138096983922,0.9366608289550497,0.910801096283918
12,0.09839503574436465,0.15687150218058105,0.937974314068885,0.9145521820429291
13,0.09424120790624581,0.15729163942007174,0.9370986573263281,0.9109868880194396
14,0.08749815094657906,0.15724110327578397,0.9397256275539988,0.914437559401841
15,0.08500468999916135,0.16145512646078297,0.9392877991827204,0.9147449510450916
16,0.08070838150842341,0.162720044706206,0.9406012842965558,0.9169456955188109
17,0.07855234875343527,0.16224463346647505,0.9394337419731466,0.9154782243362426
18,0.07517584306791014,0.1611801870493463,0.9401634559252773,0.9190782965498124
19,0.07066142659538106,0.16510855117285383,0.9370986573263281,0.9084813551169596
20,0.06807678947357851,0.16373276043307064,0.9411850554582604,0.9196788168972575
