,B cells,Mono,NK,Platelet,T cells,Other
B cells,340,2,0,0,0,0
Mono,0,630,0,0,0,0
NK,1,0,144,0,9,0
Platelet,1,2,1,0,11,0
T cells,8,5,91,0,1356,0
Other,0,0,0,0,0,0
