,B cells,Mono,NK,Platelet,T cells,Other
B cells,1215,0,0,0,7,0
Mono,3,2072,2,0,25,0
NK,4,0,286,0,23,0
Platelet,0,0,0,0,0,0
T cells,31,4,161,0,2701,0
Other,0,0,0,0,0,0
