,B cells,Mono,NK,Platelet,T cells,Other
B cells,1222,0,0,0,0,0
Mono,2,2070,0,20,10,0
NK,6,0,276,0,31,0
Platelet,0,0,0,0,0,0
T cells,5,6,49,3,2834,0
Other,0,0,0,0,0,0
