epoch,train_loss,val_loss,val_acc,val_macro_f1,lr,elapsed_seconds
1,1.0448988518749485,0.5172375744834754,0.9668473728106756,0.9536247353973252,0.0001,9.436609983444214
2,0.5268400114458873,0.4515924162671803,0.9770642201834863,0.9584581942117467,0.0001,16.56999707221985
3,0.45321615709423485,0.4415989589999376,0.9791492910758965,0.9665600737746194,0.0001,23.722239017486572
4,0.43170226682522567,0.4357060938452163,0.9797748123436196,0.9739459358191576,0.0001,30.91744089126587
5,0.4204051476638693,0.43423881937902703,0.9791492910758965,0.9733830543859348,0.0001,38.136516094207764
6,0.4136344536385267,0.43299608301678927,0.9799833194328608,0.9738133474322869,0.0001,45.23779511451721
7,0.4085365314866838,0.43199628355405645,0.9789407839866555,0.9732785855237663,0.0001,52.34052610397339
8,0.4038430536759441,0.4311127970872868,0.9801918265221018,0.9739293997697842,0.0001,59.56672191619873
9,0.400382433761158,0.43229749875828266,0.9797748123436196,0.9736856941799464,0.0001,66.90227103233337
10,0.39729059039710923,0.43195740979248726,0.9791492910758965,0.973363451239013,0.0001,74.04453611373901
11,0.395249848062133,0.4333825302034542,0.9795663052543786,0.9735769217563643,5e-05,81.16984009742737
12,0.39295800583902435,0.43315438398030326,0.9791492910758965,0.9735885779759939,5e-05,88.28142094612122
13,0.3921030964562975,0.4329931150882616,0.9789407839866555,0.9734839829566277,5e-05,95.56318306922913
14,0.3912601875389106,0.4349551363921941,0.9783152627189324,0.9731458995993707,5e-05,102.75980401039124
15,0.39065912415145465,0.434476561726283,0.9785237698081735,0.9732669057510721,5e-05,109.88762211799622
16,0.3895336932482339,0.43477226116440515,0.9785237698081735,0.9729915168846835,5e-05,117.04225206375122
17,0.3888892438730941,0.4346328832836724,0.9783152627189324,0.9731458995993707,5e-05,124.21248817443848
18,0.3879457021115324,0.43521666014761207,0.9793577981651376,0.980230976985683,5e-05,131.39276695251465
19,0.38715850922587475,0.435709982936436,0.9797748123436196,0.9741560130746445,5e-05,138.51423001289368
20,0.38677209110750643,0.4357798842711683,0.9789407839866555,0.9736972614574227,5e-05,145.7120270729065
21,0.3863275365014577,0.4371715349590311,0.9787322768974145,0.9798928929917411,5e-05,152.8461880683899
22,0.38573186125733433,0.4379840967205786,0.9781067556296914,0.9795630703443772,5e-05,159.977609872818
23,0.3852751688761004,0.4384516198700721,0.9783152627189324,0.9796801333885169,5e-05,167.10738801956177
24,0.3846863948205948,0.4390826052283127,0.9789407839866555,0.9800180566637586,5e-05,174.23871207237244
25,0.3844159671310499,0.44098725696222496,0.9776897414512093,0.9784918127857397,2.5e-05,181.57174015045166
26,0.3839066274023424,0.44097431375644325,0.9776897414512093,0.9787807860260893,2.5e-05,188.90344500541687
27,0.38372773621094514,0.44128832375138277,0.9774812343619683,0.9783748217078309,2.5e-05,196.0228250026703
28,0.3834403328186185,0.44072427925614144,0.9776897414512093,0.9784918127857397,2.5e-05,203.15181517601013
29,0.3830008201239126,0.4407846732523364,0.9787322768974145,0.9790506045810377,2.5e-05,210.27651810646057
30,0.3832089984368075,0.44157033611875063,0.9785237698081735,0.9789340351398227,2.5e-05,217.43514704704285
31,0.3827770277562595,0.442030480720283,0.9781067556296914,0.9787129239627811,2.5e-05,224.5780611038208
32,0.3826257696585031,0.44206388027495,0.9781067556296914,0.9792767624218858,1.25e-05,231.78059196472168
33,0.3823153242575515,0.44186387144594613,0.9781067556296914,0.9789934437625254,1.25e-05,239.14609003067017
34,0.38249249457732976,0.441954119912379,0.9783152627189324,0.9791103248503523,1.25e-05,246.40168285369873
35,0.3822280330847264,0.4422016219609573,0.9778982485404504,0.9788849461078477,1.25e-05,253.579026222229
36,0.38249680295561383,0.44206315157212644,0.9778982485404504,0.9788934473543188,1.25e-05,260.7113080024719
37,0.3821368323810925,0.44267985888378536,0.9778982485404504,0.9788806816328149,1.25e-05,267.82954692840576
38,0.3822846252340274,0.44232349698000695,0.9783152627189324,0.9793937637127103,1.25e-05,275.0428330898285
39,0.3821202900124056,0.4425363073854073,0.9785237698081735,0.9795022638724442,1e-05,282.1677529811859
40,0.3820614653024375,0.44229677195246764,0.9785237698081735,0.9795022638724442,1e-05,289.2932860851288
