round,train_loss,val_loss,elapsed_seconds,val_macro_f1,val_acc
1,1.5450903759484151,1.5451819427665618,2.1641918401190696,0.906731047303874,0.9399499582985822
2,1.485072761140882,1.4854207187269608,4.328383680238139,,
3,1.429573374824659,1.43010791457624,6.492575520357209,,
4,1.3777300774069237,1.3784295825584418,8.656767360476278,,
5,1.3286349795613204,1.329439062168441,10.820959200595349,,
6,1.2825072542796505,1.2834164373471004,12.985151040714419,,
7,1.2389315161337455,1.2399944902908016,15.149342880833487,,
8,1.1978830935291567,1.1991188896010576,17.313534720952557,,
9,1.1589313950243325,1.1602345668991174,19.477726561071627,,
10,1.1219526523732959,1.123284576136038,21.641918401190697,,
11,1.0868851915766589,1.0883018218347487,23.806110241309767,0.9129914843399256,0.9441201000834029
12,1.0534750216986792,1.0549588851052787,25.970302081428837,,
13,1.0215615966308935,1.023134549897944,28.134493921547904,,
14,0.9909539733073683,0.9925883273540486,30.298685761666974,,
15,0.9618530761256242,0.9636479496235049,32.46287760178605,,
16,0.9340189166137638,0.9358612261308641,34.627069441905114,,
17,0.9075201325149096,0.9094267173222048,36.79126128202418,,
18,0.8820602408095889,0.8840495339028531,38.955453122143254,,
19,0.8575566509841577,0.8596284635942911,41.11964496226232,,
20,0.8341259814960925,0.8363400856662134,43.283836802381394,,
21,0.8115823470886891,0.8139551745617359,45.44802864250046,0.914073144576232,0.944954128440367
22,0.7898162403991845,0.7922833480866777,47.612220482619534,,
23,0.768899660681538,0.77150930654416,49.7764123227386,,
24,0.7487126284424946,0.7514141413000248,51.940604162857674,,
25,0.7293716828199603,0.732119577056771,54.10479600297674,,
26,0.7108062605014787,0.7136661203902795,56.26898784309581,,
27,0.6928642061247153,0.6957628875349441,58.43317968321488,,
28,0.6755836270557094,0.6785535862214174,60.59737152333395,,
29,0.6588749038505006,0.6619625146235895,62.76156336345302,,
30,0.6427567974442429,0.645912760901292,64.9257552035721,,
31,0.6272712724801164,0.630502866321648,67.08994704369115,0.9133746653440051,0.9445371142618849
32,0.6122815486160471,0.6155577494923625,69.25413888381023,,
33,0.5977346300257111,0.601022857069671,71.4183307239293,,
34,0.5837600481688033,0.5871537887647412,73.58252256404836,,
35,0.5702928429230081,0.5737659445372694,75.74671440416743,,
36,0.5572230896723342,0.5607469866022754,77.91090624428651,,
37,0.5445209137128862,0.5481015242282006,80.07509808440558,,
38,0.5322951006458753,0.53607339622007,82.23928992452464,,
39,0.5204400012474131,0.5242960344412806,84.40348176464371,,
40,0.5090329038457713,0.512994764265515,86.56767360476279,,
41,0.4979829758627333,0.502020483940616,88.73186544488186,0.9140977320502627,0.944954128440367
42,0.48727034851302775,0.4913552196958942,90.89605728500092,,
43,0.47694524459286913,0.4811752842641354,93.06024912512,,
44,0.4669396997627753,0.4712919586581225,95.22444096523907,,
45,0.45724743980701943,0.4616412984594094,97.38863280535813,,
46,0.44781928045342384,0.45228855104323124,99.5528246454772,,
47,0.4387309530676164,0.44325947168720475,101.71701648559628,,
48,0.42997890497952024,0.43457878236227776,103.88120832571535,,
49,0.4214496155926512,0.42615694859631364,106.04540016583441,,
50,0.41319643260664213,0.4180388639155182,108.20959200595348,,
51,0.4051731393624688,0.4101230033469061,110.37378384607256,0.9146842346860098,0.945371142618849
52,0.3973702958362438,0.402476333473204,112.53797568619161,,
53,0.3897917294164746,0.39501811108482787,114.70216752631069,,
54,0.38249042212275375,0.3877793302304353,116.86635936642976,,
55,0.3754213202315495,0.38078370539345674,119.03055120654884,,
56,0.3685687011172234,0.37404433862493375,121.1947430466679,,
57,0.3619398312106615,0.3674701605119538,123.35893488678697,,
58,0.35546896776354864,0.36109786741653016,125.52312672690604,,
59,0.3492282016788388,0.3549887468576978,127.68731856702512,,
60,0.3431402746097656,0.3489995704493093,129.8515104071442,,
61,0.3372221412909423,0.3431796499677903,132.01570224726325,0.914949606362368,0.9459966638865721
62,0.3314997481126935,0.33756906570271716,134.1798940873823,,
63,0.325915664454112,0.3320700101231266,136.3440859275014,,
64,0.3206018977170498,0.3268545669059986,138.50827776762046,,
65,0.31534781857114225,0.32172020931446227,140.67246960773952,,
66,0.3102707376133144,0.316743810435103,142.8366614478586,,
67,0.30533451204342904,0.3119146427461214,145.00085328797766,,
68,0.3005276647158403,0.3072080334851998,147.16504512809672,,
69,0.2959184245661946,0.30272116884899897,149.3292369682158,,
70,0.29141081988573964,0.298317810829676,151.49342880833487,,
71,0.287024193198557,0.29398092566628176,153.65762064845396,0.9160045004874091,0.9466221851542952
72,0.28274950417063466,0.28977476692664517,155.82181248857302,,
73,0.27856704384763126,0.2856080679252458,157.98600432869208,,
74,0.27454536434528226,0.2816784869913661,160.15019616881116,,
