iteration,train_loss,val_loss,val_acc,val_macro_f1,elapsed_seconds
1,0.33967856342163255,0.3236594538969837,0.957464553794829,0.9569985474136333,1.154561996459961
2,0.08078420598613377,0.07908508731726875,0.9789407839866555,0.9796254101133378,3.1106131076812744
3,0.033517905338396485,0.04976590829432947,0.9822768974145121,0.9882090849185184,5.307300090789795
4,0.026641627658461425,0.054803521782473996,0.9810258548790659,0.9883009740417295,7.074521780014038
5,0.023930490756456868,0.05644626068297403,0.9810258548790659,0.98825598529829,9.10342288017273
6,0.022628397209214966,0.06034115915499775,0.9806088407005839,0.9881375879906613,11.33222508430481
7,0.021848656800744173,0.06286766889370957,0.9808173477898249,0.987872613752726,13.948477029800415
8,0.021547141444241122,0.06294352160778958,0.9799833194328608,0.9874418813030357,17.502295970916748
9,0.021410187857162092,0.06489597157273556,0.9799833194328608,0.987382992259748,21.205080032348633
10,0.021300304095196478,0.06346138978568526,0.9797748123436196,0.9875949230298721,24.784071922302246
11,0.021240692838832304,0.06522886243768998,0.9795663052543786,0.987153237172407,28.870763063430786
12,0.021219521331338934,0.06464381369119121,0.9795663052543786,0.9871574518397981,32.45248579978943
13,0.021184553084251687,0.06496624949489346,0.9791492910758965,0.9866485151105981,36.23883390426636
14,0.021178285473884926,0.06549673737729092,0.9789407839866555,0.9860222794168433,40.22836399078369
15,0.021153721622199265,0.06513125028037302,0.9787322768974145,0.9859094747477342,44.38304901123047
16,0.021158755508968508,0.06537146962822728,0.9787322768974145,0.9859094747477342,49.28069877624512
17,0.021139945431768562,0.06532958679336662,0.9787322768974145,0.9859052461712864,54.85233998298645
18,0.02115125749926107,0.06519460994166346,0.9785237698081735,0.9857966228267594,60.23166108131409
19,0.021133329884547327,0.06530544269141202,0.9789407839866555,0.9860181003657541,65.20030117034912
20,0.02114461047164067,0.06524112500552517,0.9785237698081735,0.9791534563951825,70.1136519908905
25,0.02113093084651921,0.06517713095489942,0.9783152627189324,0.9790363262725819,75.94537091255188
30,0.021131497386456057,0.06527635381633214,0.9783152627189324,0.9790363262725819,83.01069116592407
35,0.021126858792800265,0.06518079988630666,0.9785237698081735,0.9791492278187347,91.60727095603943
40,0.021127614796968716,0.0651924379969565,0.9781067556296914,0.9789277052276419,102.05585408210754
45,0.021128910613149456,0.06519198771002548,0.9781067556296914,0.9789277052276419,113.37538576126099
50,0.021128118075575866,0.06520839394276916,0.9783152627189324,0.9790363262725819,124.69310688972473
55,0.021128127948443196,0.06520778563973827,0.9781067556296914,0.9789277052276419,136.844300031662
60,0.021128495007260543,0.0652001426232174,0.9781067556296914,0.9789277052276419,149.41457986831665
65,0.021127883776125247,0.0652135141947509,0.9781067556296914,0.9789277052276419,163.34620809555054
70,0.021128067049611447,0.06520902374157435,0.9781067556296914,0.9789277052276419,177.7738299369812
75,0.021127926038177387,0.06521055915602894,0.9781067556296914,0.9789277052276419,193.05041193962097
80,0.021127950055065972,0.06521001705118665,0.9781067556296914,0.9789277052276419,208.1584451198578
85,0.02112794248974123,0.06521018819097801,0.9781067556296914,0.9789277052276419,215.43875408172607
90,0.021127942559347523,0.06521018570973082,0.9781067556296914,0.9789277052276419,216.85783982276917
95,0.021127942462006416,0.0652101850862634,0.9781067556296914,0.9789277052276419,218.13374209403992
100,0.021127942485861438,0.06521018488810675,0.9781067556296914,0.9789277052276419,219.38116002082825
150,0.02112794243497663,0.06521018660260121,0.9781067556296914,0.9789277052276419,220.55817699432373
200,0.02112794245171802,0.06521018625409276,0.9781067556296914,0.9789277052276419,221.97096180915833
250,0.02112794240275269,0.06521018759581451,0.9781067556296914,0.9789277052276419,223.93506574630737
300,0.02112794241473386,0.0652101876348161,0.9781067556296914,0.9789277052276419,225.98857402801514
350,0.02112794236268923,0.06521018984693791,0.9781067556296914,0.9789277052276419,227.02316999435425
400,0.021127942376019077,0.06521018957248295,0.9781067556296914,0.9789277052276419,228.27447819709778
450,0.021127942344541024,0.06521019037708621,0.9781067556296914,0.9789277052276419,229.37052488327026
500,0.021127942350955095,0.06521019052686049,0.9781067556296914,0.9789277052276419,230.64552974700928
