split_id,seed,model,macro_f1,accuracy,train_time_seconds,notes
split_01,42,LR,0.8391143997514179,0.8825804568342699,5.3220109939575195,input=PCA; best_C=0.5
split_01,42,XGB,0.9015053208688382,0.9352696489819747,238.9344198703766,input=PCA; best_iter=1859
split_01,42,SANN,0.9162677599327397,0.9419105305407575,38.80340003967285,input=PCA; hidden=256 dropout=0.1 bn=True relu
split_02,53,LR,0.837588476261972,0.880683062103189,5.811137914657593,input=PCA; best_C=5.0
split_02,53,XGB,0.9018126139386871,0.9365102532292199,251.77210402488708,input=PCA; best_iter=1972
split_02,53,SANN,0.9212385953330079,0.9451944829599358,43.17796301841736,input=PCA; hidden=256 dropout=0.1 bn=True relu
split_03,64,LR,0.8373446959510857,0.8793694811355177,5.63202691078186,input=PCA; best_C=2.0
split_03,64,XGB,0.9046694761358091,0.9349047653798438,227.72504019737244,input=PCA; best_iter=1757
split_03,64,SANN,0.9146325149569209,0.9378238341968912,23.896447896957397,input=PCA; hidden=256 dropout=0.1 bn=True relu
split_04,75,LR,0.843623280004872,0.8836021309202364,5.6378560066223145,input=PCA; best_C=5.0
split_04,75,XGB,0.9028656812359523,0.9343939283368605,250.13397026062012,input=PCA; best_iter=1942
split_04,75,SANN,0.9231311719147001,0.9430051813471503,59.69693899154663,input=PCA; hidden=256 dropout=0.1 bn=True relu
split_05,86,LR,0.8483453624917877,0.8848427351674816,5.601154804229736,input=PCA; best_C=5.0
split_05,86,XGB,0.9090629095887285,0.9358534627453842,251.9226689338684,input=PCA; best_iter=1922
split_05,86,SANN,0.9225338196066891,0.9427132744654455,26.647419929504395,input=PCA; hidden=256 dropout=0.1 bn=True relu
