,B cells,Mono,NK,Platelet,T cells,Other
B cells,339,1,0,0,1,1
Mono,3,619,0,0,0,8
NK,0,0,143,0,11,0
Platelet,1,2,1,0,0,11
T cells,3,5,16,0,1432,4
Other,0,0,0,0,0,0
