split_id,seed,model,macro_f1,accuracy,train_time_seconds,notes
split_01,42,LR,0.8396256611093376,0.8827993869955484,1882.3982090950012,best_C=1
split_01,42,XGB,0.8999291410863274,0.9337371378530249,277.1637041568756,best_iter=1365
split_01,42,SANN,0.9168621105210185,0.9422024374224622,66.9523057937622,hidden=256 dropout=0.1 bn=True relu
split_02,53,LR,0.8354125847952165,0.8802452017806319,1898.3403429985046,best_C=1
split_02,53,XGB,0.8987337367865605,0.9352696489819747,307.78529810905457,best_iter=1521
split_02,53,SANN,0.9192678990583766,0.9430051813471503,36.0212881565094,hidden=256 dropout=0.1 bn=True relu
split_03,64,LR,0.8375491662370901,0.879442457855944,1849.6570959091187,best_C=0.5
split_03,64,XGB,0.900712763098357,0.9341020214551558,261.53766918182373,best_iter=1276
split_03,64,SANN,0.9148130157095385,0.9386265781215792,46.276251792907715,hidden=256 dropout=0.1 bn=True relu
split_04,75,LR,0.84246940699313,0.8830912938772532,1865.4865288734436,best_C=1
split_04,75,XGB,0.8993133064976566,0.9321316500036488,297.3771770000458,best_iter=1493
split_04,75,SANN,0.921755058671834,0.9427862511858717,46.121826171875,hidden=256 dropout=0.1 bn=True relu
split_05,86,LR,0.8472948650605444,0.8843318981244983,1850.323068857193,best_C=1
split_05,86,XGB,0.9062643241700997,0.9346858352185653,287.30650520324707,best_iter=1434
split_05,86,SANN,0.9228643859049138,0.9430051813471503,36.21912908554077,hidden=256 dropout=0.1 bn=True relu
