model,mean,std,count,min,max
LR,1869.2410491466521,21.067732351318078,5,1849.6570959091189,1898.3403429985049
XGB,286.23407073020934,17.9022214668199,5,261.53766918182373,307.78529810905457
SANN,46.31816020011902,12.58793341935636,5,36.0212881565094,66.9523057937622
