epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.7643138100945711,0.3514068003328516,0.880764740221833,0.8088395474307767
2,0.30666118879726845,0.26823154739030813,0.9025102159953299,0.8547271879431505
3,0.2494659921764982,0.23085201404210218,0.9146234676007006,0.8759559455008923
4,0.21398628086332042,0.20875692188357026,0.9219206071220082,0.886934859919114
5,0.19143346808749004,0.19288430321620212,0.9268826619964974,0.8976954542790194
6,0.1728042201803875,0.18377280879006772,0.928342089900759,0.9005508212892375
7,0.1604814277515774,0.17782361280027356,0.9319906596614127,0.9071132776619509
8,0.15117494026906453,0.1715250254216698,0.9340338587273789,0.9083725223298436
9,0.1433463477144041,0.17084550866242815,0.9347635726795096,0.9097106251606775
10,0.13577066851970485,0.16829247521296345,0.9382661996497373,0.9123864199663646
11,0.13016414113629712,0.16474188409280305,0.9375364856976065,0.9125435804559239
12,0.12411376997385087,0.16421104771869613,0.9373905429071804,0.9133779744745459
13,0.11816139613455767,0.16287002418031488,0.9363689433741973,0.9128210415467863
14,0.1144545119345346,0.16344739518455087,0.9375364856976065,0.9142330813763323
15,0.11146519159354443,0.1622163784117707,0.9381202568593111,0.9148159108825881
16,0.10748512012232327,0.16169331709474272,0.9381202568593111,0.9130793779957112
17,0.10335951099537291,0.16186288016550873,0.9378283712784589,0.9154509282280376
18,0.10201418977810667,0.16372159463546462,0.9391418563922942,0.9119668157864419
19,0.09869695756249063,0.16166829332161284,0.939871570344425,0.91477251576647
20,0.09489334439668673,0.16172878022299686,0.939871570344425,0.9139757490172195
