,B cells,Mono,NK,Platelet,T cells,Other
B cells,1222,0,0,0,0,0
Mono,1,2065,0,31,5,0
NK,4,0,300,0,9,0
Platelet,0,0,0,0,0,0
T cells,4,5,7,0,2881,0
Other,0,0,0,0,0,0
