"dataset","n_cells","runtime_min","tool","seurat_version","r_version"
"8K",8371,0.0344241142272949,"Seurat_label_transfer","5.4.0","4.4.0"
"3K",2638,0.0136672139167786,"Seurat_label_transfer","5.4.0","4.4.0"
