,B cells,Mono,NK,Platelet,T cells,Other
B cells,340,2,0,0,0,0
Mono,0,630,0,0,0,0
NK,0,0,143,0,11,0
Platelet,0,1,0,13,1,0
T cells,8,5,11,0,1436,0
Other,0,0,0,0,0,0
